No,Yaşadığı Yıllar,Ülke/Devlet,Kumandan,Ünlü Zaferi,Askeri Alanı,Önemli Özelliği,Görsel
1,1881-1938,Türkiye,Mustafa Kemal Atatürk,Çanakkale ve Büyük Taarruz,Kara,Türkiye Cumhuriyeti'nin kurucusu ve başkomutan,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Ataturk1930s.jpg/330px-Ataturk1930s.jpg
2,1432-1481,Osmanlı,Fatih Sultan Mehmed,İstanbul'un Fethi,Kara ve deniz,21 yaşında çağ kapatıp çağ açtı,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Bellini%2C_Gentile_-_Sultan_Mehmet_II.jpg/330px-Bellini%2C_Gentile_-_Sultan_Mehmet_II.jpg
3,1470-1520,Osmanlı,Yavuz Sultan Selim,Çaldıran ve Ridaniye,Kara,Halifeliği Osmanlı'ya kazandırdı,https://upload.wikimedia.org/wikipedia/commons/3/35/Yavuz_Sultan_Selim_Han_%28cropped%29.jpg
4,1494-1566,Osmanlı,Kanuni Sultan Süleyman,Mohaç Meydan Savaşı,Kara,13 büyük sefere bizzat komuta etti,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/EmperorSuleiman.jpg/330px-EmperorSuleiman.jpg
5,1029-1072,Büyük Selçuklu,Alparslan,Malazgirt Savaşı,Kara,Anadolu'nun kapılarını Türklere açtı,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Alp_Arslan_on_throne_Majma_al-Tawarikh_by_Hafiz_Abru_%28cropped%29.png/330px-Alp_Arslan_on_throne_Majma_al-Tawarikh_by_Hafiz_Abru_%28cropped%29.png
6,990-1063,Büyük Selçuklu,Tuğrul Bey,Dandanakan Savaşı,Kara,Büyük Selçuklu Devleti'nin kurucusu,https://upload.wikimedia.org/wikipedia/commons/3/34/Tugrul_bey.jpg
7,1478-1546,Osmanlı,Barbaros Hayreddin Paşa,Preveze Deniz Savaşı,Deniz,Akdeniz'i Türk gölü haline getirdi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Barbarossa_Hayreddin_Pasha.jpg/330px-Barbarossa_Hayreddin_Pasha.jpg
8,1485-1565,Osmanlı,Turgut Reis,Cerbe Deniz Savaşı,Deniz,Akdeniz'in efsanevi Türk amirali,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Dragut_Monument_Palm_Globe_Istanbul.jpg/330px-Dragut_Monument_Palm_Globe_Istanbul.jpg
9,1465-1553,Osmanlı,Piri Reis,Mısır ve Hint seferleri,Deniz,Dünya haritası ve Kitab-ı Bahriye eseri,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Piri_reis.jpg/330px-Piri_reis.jpg
10,MÖ 234-MÖ 174,Asya Hun,Mete Han,Çin seferleri,Kara,Onlu askeri teşkilat sisteminin kurucusu,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/P%C4%B1narba%C5%9F%C4%B1_1.JPG/330px-P%C4%B1narba%C5%9F%C4%B1_1.JPG
11,395-453,Avrupa Hun,Attila,Galya ve İtalya seferleri,Kara,Roma İmparatorluğu'nu haraca bağladı,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Eugene_Ferdinand_Victor_Delacroix_Attila_fragment_%28cropped%29.jpg/330px-Eugene_Ferdinand_Victor_Delacroix_Attila_fragment_%28cropped%29.jpg
12,500-552,Göktürk,Bumin Kağan,Juan-juan zaferi,Kara,Göktürk Kağanlığı'nın kurucusu,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/P%C4%B1narba%C5%9F%C4%B1_16.JPG/330px-P%C4%B1narba%C5%9F%C4%B1_16.JPG
13,1336-1405,Timur İmparatorluğu,Timur,Ankara Savaşı,Kara,Hiçbir meydan savaşı kaybetmedi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Timur_reconstruction03.jpg/330px-Timur_reconstruction03.jpg
14,1162-1227,Moğol,Cengiz Han,Orta Asya seferleri,Kara,Tarihin en büyük kara imparatorluğunu kurdu,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/YuanEmperorAlbumGenghisPortrait.jpg/330px-YuanEmperorAlbumGenghisPortrait.jpg
15,1137-1193,Eyyubiler,Selahaddin Eyyubi,Hittin Savaşı,Kara,Kudüs'ü Haçlılardan geri aldı,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Al-Nasir_I_Salah_al-Din_Yusuf_%28Saladin%29._AH_564-589_%281169-1193_CE%29_%C3%86_Dirham_%2830.1mm%2C_13.28_g%2C_6h%29._Without_mint-name._Dated_AH_586_%28AD_1190-91%29._Sultan_sitting_facing%2C_cross-legged%2C_on_high-backed_throne_%28obverse%29.jpg/330px-thumbnail.jpg
16,592-642,İslam Devleti,Halid bin Velid,Yermük Savaşı,Kara,Hiç yenilmeyen komutan olarak anılır,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Khalid_ibn_al-Walid_Masjid_an-Nabawi_Calligraphy.png/330px-Khalid_ibn_al-Walid_Masjid_an-Nabawi_Calligraphy.png
