No,Heykeltıraş,Yıl,Heykel,Ülke/Şehir,Malzeme,Yükseklik (m),Dönem,İlginç Bilgi,Görsel
1,Bilinmiyor,MÖ 2500,Büyük Sfenks,Mısır - Giza,Kireçtaşı,20.0,Antik Mısır,Firavun başlı aslan gövdeli,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Sphinx_with_the_third_pyramid.jpg/330px-Sphinx_with_the_third_pyramid.jpg
2,Thutmose,MÖ 1345,Nefertiti Büstü,Almanya - Berlin,Kireçtaşı ve alçı,0.48,Antik Mısır,Bir gözü tamamlanmamıştır,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Nofretete_Neues_Museum.jpg/330px-Nofretete_Neues_Museum.jpg
3,Myron,MÖ 450,Diskobolos,İtalya - Roma,Mermer kopya,1.55,Antik Yunan,Özgün bronz heykeli kayıptır,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Roman_bronze_copy_of_Myron%E2%80%99s_Discobolos%2C_2nd_century_CE_%28Glyptothek_Munich%29.jpg/330px-Roman_bronze_copy_of_Myron%E2%80%99s_Discobolos%2C_2nd_century_CE_%28Glyptothek_Munich%29.jpg
4,Bilinmiyor,MÖ 210,Terracotta Ordusu,Çin - Xian,Pişmiş toprak,1.8,Antik Çin,Binlerce asker heykelinden oluşur,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/51714-Terracota-Army.jpg/330px-51714-Terracota-Army.jpg
5,Bilinmiyor,MÖ 190,Semendirek Nikesi,Fransa - Paris,Mermer,2.44,Helenistik,Başı ve kolları eksiktir,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Victoire_de_Samothrace_-_Musee_du_Louvre_-_20190812.jpg/330px-Victoire_de_Samothrace_-_Musee_du_Louvre_-_20190812.jpg
6,Bilinmiyor,MÖ 130,Milo Venüsü,Fransa - Paris,Mermer,2.04,Helenistik,Kolları kayıp olarak bulundu,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Front_views_of_the_Venus_de_Milo.jpg/330px-Front_views_of_the_Venus_de_Milo.jpg
7,Bilinmiyor,MÖ 62,Nemrut Dağı Dev Heykelleri,Türkiye - Adıyaman,Kireçtaşı,9.0,Helenistik,Dağ zirvesinde dev başlar,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Mount_Nemrut_-_East_Terrace_%284961323529%29.jpg/330px-Mount_Nemrut_-_East_Terrace_%284961323529%29.jpg
8,Agesandros ve Athenodoros,MÖ 40,Laokoon ve Oğulları,Vatikan,Mermer,2.08,Helenistik,1506'da Roma'da bulundu,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Laoco%C3%B6n_and_his_sons_group.jpg/330px-Laoco%C3%B6n_and_his_sons_group.jpg
9,Michelangelo,1499,Pieta,Vatikan,Mermer,1.74,Rönesans,Michelangelo'nun imzaladığı tek eser,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Pieta_de_Michelangelo_-_Vaticano.jpg/330px-Pieta_de_Michelangelo_-_Vaticano.jpg
10,Michelangelo,1504,Davut,İtalya - Floransa,Mermer,5.17,Rönesans,Tek bir mermer bloktan yontuldu,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/%27David%27_by_Michelangelo_Fir_JBU004.jpg/330px-%27David%27_by_Michelangelo_Fir_JBU004.jpg
11,Michelangelo,1515,Musa,İtalya - Roma,Mermer,2.35,Rönesans,Boynuzlu olarak tasvir edilmiştir,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Michelangelo%27s_Moses_%28Rome%29.jpg/330px-Michelangelo%27s_Moses_%28Rome%29.jpg
12,Benvenuto Cellini,1554,Medusa'nın Başıyla Perseus,İtalya - Floransa,Bronz,5.19,Manierizm,Medusa'nın kesik başını tutar,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Perseus_%28Benvenuto_Cellini%29_2013_February.jpg/330px-Perseus_%28Benvenuto_Cellini%29_2013_February.jpg
13,Jerome Duquesnoy,1619,Manneken Pis,Belçika - Brüksel,Bronz,0.61,Barok,Brüksel'in simgesi küçük çocuk,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Bruxelles_Manneken_Pis_cropped.jpg/330px-Bruxelles_Manneken_Pis_cropped.jpg
14,Gian Lorenzo Bernini,1625,Apollon ve Daphne,İtalya - Roma,Mermer,2.43,Barok,Mite göre dönüşüm anını yakalar,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Apollo_and_Daphne_%28Bernini%29_%28cropped%29.jpg/330px-Apollo_and_Daphne_%28Bernini%29_%28cropped%29.jpg
15,Gian Lorenzo Bernini,1652,Aziz Teresa'nın Vecdi,İtalya - Roma,Mermer,3.5,Barok,Işık huzmeli dramatik sahne,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Ecstasy_of_St._Teresa_HDR.jpg/330px-Ecstasy_of_St._Teresa_HDR.jpg
16,Antonio Canova,1793,Aşkın Öpücüğüyle Uyanan Psyche,Fransa - Paris,Mermer,1.55,Neoklasik,Aşk ve ruhun birleşmesini anlatır,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/0_Psych%C3%A9_ranim%C3%A9e_par_le_baiser_de_l%27Amour_-_Canova_-_Louvre_1.JPG/330px-0_Psych%C3%A9_ranim%C3%A9e_par_le_baiser_de_l%27Amour_-_Canova_-_Louvre_1.JPG
17,Frederic Auguste Bartholdi,1886,Özgürlük Anıtı,ABD - New York,Bakır,46.0,Neoklasik,Fransa'nın ABD'ye armağanı,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Front_view_of_Statue_of_Liberty_%28cropped%29.jpg/330px-Front_view_of_Statue_of_Liberty_%28cropped%29.jpg
18,Auguste Rodin,1889,Calais Burjuvaları,Fransa - Calais,Bronz,2.09,Modern,Altı figürden oluşan grup,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Statue_bourgeois_calais_rodin.jpg/330px-Statue_bourgeois_calais_rodin.jpg
19,Auguste Rodin,1904,Düşünen Adam,Fransa - Paris,Bronz,1.86,Modern,Cehennem Kapıları'ndan uyarlandı,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Le_Penseur_by_Rodin_%28Kunsthalle_Bielefeld%29_2014-04-10.JPG/330px-Le_Penseur_by_Rodin_%28Kunsthalle_Bielefeld%29_2014-04-10.JPG
